DEBUG: line: 91 -> Endereço atualizado: 127.0.1.3 - antigo: 13 - peso: 13
DEBUG: line: 91 -> Endereço atualizado: 127.0.1.2 - antigo: 25 - peso: 25
DEBUG: line: 91 -> Endereço atualizado: 127.0.1.4 - antigo: 2 - peso: 2
DEBUG: line: 91 -> Endereço atualizado: 127.0.1.2 - antigo: 22 - peso: 22
DEBUG: line: 91 -> Endereço atualizado: 127.0.1.4 - antigo: 16 - peso: 16
DEBUG: line: 91 -> Endereço atualizado: 127.0.1.3 - antigo: 24 - peso: 24
DEBUG: line: 91 , node:127.0.1.1 -> Endereço atualizado: 127.0.1.3 - antigo: 23 - peso: 23 
DEBUG: line: 91 , node:127.0.1.1 -> Endereço atualizado: 127.0.1.4 - antigo: 12 - peso: 12 
DEBUG:linha: 91,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 105 - peso: 105 
DEBUG:linha: 92,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 91,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 21 - peso: 21 
DEBUG:linha: 91,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 20 - peso: 20 
DEBUG:linha: 91,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 91,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 91,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 91,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 91,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 33 - peso: 33 
DEBUG:linha: 92,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 92,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 92,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 11 - peso: 11 
DEBUG:linha: 92,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 29 - peso: 29 
DEBUG:linha: 92,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 92,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 64 - peso: 64 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 32 - peso: 32 
DEBUG:linha: 99,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 30 - peso: 30 
DEBUG:linha: 99,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 99,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.1 - antigo: 30 - peso: 30 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 15 - peso: 15 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 15 - peso: 15 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 15 - peso: 15 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 15 - peso: 15 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 15 - peso: 15 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 20 - peso: 20 
DEBUG:linha: 101,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 12 - peso: 12 
DEBUG:linha: 110,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 25 - peso: 25 
DEBUG:linha: 110,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 22 - peso: 22 
DEBUG:linha: 110,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.3 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 10 - peso: 10 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.2 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.2 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 20 - peso: 20 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
DEBUG:linha: 110,127.0.1.1 -operação: -> Endereço atualizado: 127.0.1.3 - antigo: 30 - peso: 30 
